"Species"	"SumOfkm2"
"Allium plummerae"	39647.28
"Allium praecox"	56227.28
"Allium punctum"	114170.11
"Allium rhizomatum"	138826.84
"Allium robinsonii"	39921.89
"Allium runyonii"	45050.19
"Allium sanbornii"	68972.13
"Allium schoenoprasum"	714082.55
"Allium scilloides"	29323.75
"Allium serra"	107732.12
"Allium sharsmithiae"	9152.38
"Allium shevockii"	21119.11
"Allium simillimum"	132220.79
"Allium siskiyouense"	96735.98
"Allium speculae"	10005.46
"Allium stellatum"	692940.38
"Allium textile"	1706656.91
"Allium tolmiei"	369725.90
"Allium tribracteatum"	8569.10
"Allium tricoccum"	1350738.62
"Allium tuolumnense"	5884.15
"Allium unifolium"	75499.78
"Allium validum"	610961.64
"Allium yosemitense"	9675.05
"Allolepis texana"	46669.48
"Allophyllum divaricatum"	266275.80
"Allophyllum gilioides"	773585.77
"Allophyllum glutinosum"	76716.75
"Allophyllum integrifolium"	192968.35
"Allotropa virgata"	425698.34
"Allowissadula holosericea"	183382.59
"Allowissadula lozanii"	54304.76
"Almutaster pauciflorus"	920209.58
"Alnus incana"	2720012.56
"Alnus maritima"	11310.68
"Alnus oblongifolia"	382821.79
"Alnus rhombifolia"	580038.39
"Alnus rubra"	315743.17
"Alnus serrulata"	1716391.26
"Alnus sinuata"	723042.51
"Alnus viridis"	336234.29
"Alopecurus aequalis"	3793444.99
"Alopecurus carolinianus"	2565117.98
"Alopecurus magellanicus"	368441.77
"Alopecurus saccatus"	315668.28
"Alophia drummondii"	287643.21
"Aloysia gratissima"	374164.29
"Aloysia macrostachya"	37540.24
"Aloysia wrightii"	657417.24
"Alternanthera flavescens"	43330.86
"Alternanthera maritima"	23965.62
"Alternanthera paronychioides"	143346.53
"Alternanthera pungens"	368.50
"Alvaradoa amorphoides"	5112.39
"Amaranthus acanthochiton"	394111.60
"Amaranthus albus"	2114323.78
"Amaranthus arenicola"	1154153.92
"Amaranthus australis"	237120.31
"Amaranthus blitoides"	2775438.12
"Amaranthus blitum"	885.40
"Amaranthus californicus"	1219841.29
"Amaranthus cannabinus"	156042.62
"Amaranthus crassipes"	187092.33
"Amaranthus fimbriatus"	599985.37
"Amaranthus floridanus"	27991.28
"Amaranthus greggii"	49358.11
"Amaranthus obcordatus"	116753.58
"Amaranthus palmeri"	1570546.65
"Amaranthus polygonoides"	276243.26
"Amaranthus powellii"	1947746.52
"Amaranthus pumilus"	40175.32
"Amaranthus scleropoides"	267006.70
"Amaranthus tamaulipensis"	2270.36
"Amaranthus torreyi"	476000.64
"Amaranthus tuberculatus"	2015095.25
"Amaranthus venulosus"	47614.28
"Amaranthus viscidulus"	39915.26
"Amaranthus watsonii"	131275.23
"Amaranthus wrightii"	421919.11
"Amauriopsis biternata"	86882.10
"Amauriopsis dissecta"	1091988.68
"Amauriopsis pedata"	349066.30
"Amblyolepis setigera"	337522.70
"Amblyopappus pusillus"	43593.19
"Ambrosia acanthicarpa"	2263566.67
"Ambrosia ambrosioides"	197838.70
"Ambrosia artemisiifolia"	3914158.31
"Ambrosia bidentata"	680607.21
"Ambrosia chamissonis"	182305.80
"Ambrosia cheiranthifolia"	8837.99
"Ambrosia chenopodiifolia"	10952.72
"Ambrosia confertiflora"	1171205.44
"Ambrosia cordifolia"	78999.71
"Ambrosia deltoidea"	120937.47
"Ambrosia dumosa"	510459.57
"Ambrosia eriocentra"	393453.63
"Ambrosia grayi"	397453.47
"Ambrosia hispida"	17585.73
"Ambrosia ilicifolia"	68600.18
"Ambrosia linearis"	34969.16
"Ambrosia monogyra"	523354.49
"Ambrosia psilostachya"	3061528.56
"Ambrosia pumila"	10952.72
"Ambrosia salsola"	645172.86
"Ambrosia tomentosa"	1003619.20
